Date,Campaign Name,AD Spend,No of Leads,Cost Per Lead,CTR,Link Click,LP Views,Member Passed,LP Conversion %
3/31/2024,ForeignSales-AsiaAntartrica,1033.89,9.0,114.87666666666668,0.8831829999999999,194.0,91.0,46.90721649484536,9.89010989010989
3/29/2024,ForeignSales-AsiaAntartrica,0.0,1.0,0.0,0.8306905,100.5,73.0,72.636815920398,1.36986301369863
3/27/2024,ForeignSales-AsiaAntartrica,0.0,1.0,0.0,0.8306905,100.5,73.0,72.636815920398,1.36986301369863
3/26/2024,ForeignSales-AsiaAntartrica,0.0,3.0,0.0,0.8306905,100.5,73.0,72.636815920398,4.10958904109589
3/25/2024,ForeignSales-AsiaAntartrica,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/24/2024,ForeignSales-AsiaAntartrica,815.22,6.0,135.87,1.079308,181.0,97.0,53.591160220994475,6.185567010309279
3/23/2024,ForeignSales-AsiaAntartrica,964.12,4.0,241.03,0.733471,139.0,98.0,70.50359712230215,4.081632653061225
3/22/2024,ForeignSales-AsiaAntartrica,991.47,4.0,247.8675,0.8584790000000001,134.0,76.0,56.71641791044776,5.263157894736842
3/21/2024,ForeignSales-AsiaAntartrica,954.4,3.0,318.1333333333333,0.9332090000000001,140.0,74.0,52.85714285714286,4.054054054054054
3/20/2024,ForeignSales-AsiaAntartrica,973.36,4.0,243.34,0.802902,135.0,102.0,75.55555555555556,3.9215686274509802
3/19/2024,ForeignSales-AsiaAntartrica,662.74,2.0,331.37,0.739839,79.0,50.0,63.29113924050633,4.0
3/31/2024,Feedbackrs9,497.7,1.0,497.7,0.38101799999999997,22.0,14.0,63.63636363636363,7.142857142857142
3/28/2024,Feedbackrs9,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/26/2024,Feedbackrs9,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/24/2024,Feedbackrs9,1573.42,5.0,314.684,0.470656,98.0,65.0,66.3265306122449,7.6923076923076925
3/23/2024,Feedbackrs9,1941.17,15.0,129.41133333333335,0.402319,102.0,72.0,70.58823529411765,20.833333333333336
3/22/2024,Feedbackrs9,1983.0,11.0,180.27272727272728,0.410152,101.0,71.0,70.29702970297029,15.492957746478872
3/21/2024,Feedbackrs9,1982.31,20.0,99.1155,0.501151,111.0,90.0,81.08108108108108,22.22222222222222
3/20/2024,Feedbackrs9,1997.54,11.0,181.59454545454545,0.430429,92.0,75.0,81.52173913043478,14.666666666666666
3/19/2024,Feedbackrs9,2009.33,18.0,111.62944444444445,0.643808,135.0,87.0,64.44444444444444,20.689655172413794
3/18/2024,Feedbackrs9,2001.02,10.0,200.102,0.540239,97.0,63.0,64.94845360824742,15.873015873015872
3/17/2024,Feedbackrs9,1941.11,21.0,92.43380952380951,0.668271,100.0,80.0,80.0,26.25
3/22/2024,Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/21/2024,Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/19/2024,Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,300.96,4.0,75.24,1.497326,14.0,12.0,85.71428571428571,33.33333333333333
3/18/2024,Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,705.63,4.0,176.4075,2.1425009999999998,43.0,36.0,83.72093023255815,11.11111111111111
3/17/2024,Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,681.39,4.0,170.3475,2.406903,53.0,40.0,75.47169811320755,10.0
3/16/2024,Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,403.43,4.0,100.8575,2.539405,29.0,22.0,75.86206896551724,18.181818181818183
3/3/2024,Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,391.27,4.0,97.8175,3.7563449999999996,37.0,30.0,81.08108108108108,13.333333333333334
3/8/2024,3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,1.0,0.0,0.8306905,100.5,73.0,72.636815920398,1.36986301369863
3/7/2024,3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/6/2024,3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/5/2024,3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/4/2024,3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,1.0,0.0,0.8306905,100.5,73.0,72.636815920398,1.36986301369863
3/3/2024,3dayslive – Copy 2 - Advantage+ shopping campaign,1520.26,8.0,190.0325,0.999303,129.0,99.0,76.74418604651163,8.080808080808081
3/2/2024,3dayslive – Copy 2 - Advantage+ shopping campaign,1896.02,5.0,379.204,0.990656,176.0,135.0,76.70454545454545,3.7037037037037033
3/1/2024,3dayslive – Copy 2 - Advantage+ shopping campaign,1899.99,12.0,158.3325,1.472565,252.0,209.0,82.93650793650794,5.741626794258373
3/6/2024,Foreign|Sales|Tamil,0.0,1.0,0.0,0.8306905,100.5,73.0,72.636815920398,1.36986301369863
3/4/2024,Foreign|Sales|Tamil,0.0,1.0,0.0,0.8306905,100.5,73.0,72.636815920398,1.36986301369863
3/3/2024,Foreign|Sales|Tamil,0.0,3.0,0.0,0.8306905,100.5,73.0,72.636815920398,4.10958904109589
3/2/2024,Foreign|Sales|Tamil,384.46,3.0,128.15333333333334,0.641026,18.0,8.0,44.44444444444444,37.5
3/1/2024,Foreign|Sales|Tamil,484.26,4.0,121.065,0.973532,32.0,18.0,56.25,22.22222222222222
3/5/2024,3dayslive – Copy,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/4/2024,3dayslive – Copy,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/3/2024,3dayslive – Copy,0.0,4.0,0.0,0.8306905,100.5,73.0,72.636815920398,5.47945205479452
3/1/2024,3dayslive – Copy,0.0,1.0,0.0,0.8306905,100.5,73.0,72.636815920398,1.36986301369863
